place,address,pos,open_time
남한산성,경기도 광주시 중부면 산성리 661,"[37.481568, 127.1826061]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
유달산,목포시 목원동,"[34.791996, 126.3550197]",
대구 두류 공원,대구광역시 달서구 성당동 154,"[35.8472435, 128.5555888]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
스카이라인 루지 통영,경상남도 통영시 도남동 발개로 스카이라인루지 통영,"[35.1794129, 126.8985258]",
상동호수공원,경기도 부천시 상동 조마루로 15,"[37.5040579, 126.7429775]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
한국만화박물관,경기도 부천시 원미구 상동 길주로 1,"[37.5087369, 126.7400331]","월요일
휴무일
화요일
오전 10:00~오후 6:00
수요일
오전 10:00~오후 6:00
목요일
오전 10:00~오후 6:00
금요일
오전 10:00~오후 6:00
토요일
오전 10:00~오후 6:00
일요일
오전 10:00~오후 6:00"
동화사,대구광역시 동구 도학동 동화사1길 1,"[35.9930621, 128.7019875]",
한강 공원,서울특별시 반포2동,"[37.5101798, 126.9943246]",
인천 대교,인천광역시 항동7가,"[37.4136591, 126.5643267]",
UN기념공원,부산광역시 남구 대연동 839-5,"[35.1276261, 129.093062]","월요일
오전 9:00~오후 5:00
화요일
오전 9:00~오후 5:00
수요일
오전 9:00~오후 5:00
목요일
오전 9:00~오후 5:00
금요일
오전 9:00~오후 5:00
토요일
오전 9:00~오후 5:00
일요일
오전 9:00~오후 5:00"
N 서울 타워,서울특별시 용산구 용산2가동 남산공원길 105,"[37.5511694, 126.9860326]","월요일
오전 10:00~오후 11:00
화요일
오전 10:00~오후 11:00
수요일
오전 10:00~오후 11:00
목요일
오전 10:00~오후 11:00
금요일
오전 10:00~오후 11:00
토요일
오전 10:00~오전 12:00
일요일
오전 10:00~오후 11:00"
알파카월드,강원도 홍천군 화촌면 풍천리,"[37.8255342, 127.8814152]","월요일
오전 10:00~오후 6:00
화요일
오전 10:00~오후 6:00
수요일
오전 10:00~오후 6:00
목요일
오전 10:00~오후 6:00
금요일
오전 10:00~오후 6:00
토요일
오전 10:00~오후 6:00
일요일
오전 10:00~오후 6:00"
제주김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,"[33.53593, 126.769979]","월요일
오전 9:00~오후 5:50
화요일
오전 9:00~오후 5:50
수요일
오전 9:00~오후 5:50
목요일
오전 9:00~오후 5:50
금요일
오전 9:00~오후 5:50
토요일
오전 9:00~오후 5:50
일요일
오전 9:00~오후 5:50"
지산포레스트리조트,경기도 이천시 마장면 지산로 267,"[37.2170666, 127.3418048]",
Yeoju Premium Outlets,경기도 여주군 여주읍 명품로 360,"[37.242065, 127.6105611]","월요일
오전 10:30~오후 8:30
화요일
오전 10:30~오후 8:30
수요일
오전 10:30~오후 8:30
목요일
오전 10:30~오후 8:30
금요일
오전 10:30~오후 9:00
토요일
오전 10:30~오후 9:00
일요일
오전 10:30~오후 9:00"
83 타워,대구광역시 달서구 두류동 두류공원로 200,"[35.8533043, 128.5643731]","월요일
오전 10:30~오후 10:00
화요일
오전 10:30~오후 10:00
수요일
오전 10:30~오후 10:00
목요일
오전 10:30~오후 10:00
금요일
오전 10:30~오후 10:00
토요일
오전 10:00~오후 10:00
일요일
오전 10:00~오후 10:00"
두물머리,경기도 양평군 양서면 두물머리길,"[37.5327835, 127.3136547]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
오동도,여수시 수정동,"[34.744664, 127.7489452]",
월정리해변,제주시 구좌읍,"[33.5559819, 126.7786756]",
포천 아트밸리,경기도 포천시 신북면 아트밸리로 234 KR,"[37.9230477, 127.2357762]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
Gself.matrixacheon-si,경기도 과천시,"[37.4337448, 126.9650948]",
남산 공원,서울특별시 중구 용산2가동 삼일대로 231,"[37.5509895, 126.9887051]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
명동난타극장,서울특별시 중구 명동2가 명동길 26 유네스코회관,"[37.5634525, 126.9815269]",
환선굴,강원도 삼척시 신기면 환선로 800,"[37.324521, 129.0059811]","월요일
오전 8:00~오후 6:00
화요일
오전 8:00~오후 6:00
수요일
오전 8:00~오후 6:00
목요일
오전 8:00~오후 6:00
금요일
오전 8:00~오후 6:00
토요일
오전 8:00~오후 6:00
일요일
오전 8:00~오후 6:00"
광명동굴,경기도 광명시 학온동 가학로85번길 142,"[37.4264944, 126.8642903]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
대전 오-월드,대전광역시 중구 사정동 사정공원로 70,"[36.2886107, 127.3955944]","월요일
오전 9:30~오후 6:00
화요일
오전 9:30~오후 6:00
수요일
오전 9:30~오후 6:00
목요일
오전 9:30~오후 6:00
금요일
오전 9:30~오후 6:00
토요일
오전 9:30~오후 6:00
일요일
오전 9:30~오후 6:00"
대구삼성라이온즈파크,대구광역시 수성구 연호동 야구전설로 1,"[35.8407803, 128.679055]","월요일
휴무일
화요일
오후 5:30~오전 12:00
수요일
오후 5:30~오전 12:00
목요일
오후 5:30~오전 12:00
금요일
오전 12:00~오후 12:00
토요일
오후 3:30~오전 12:00
일요일
오전 12:00~오후 12:00
오후 3:30~오전 12:00"
여주도자기축제,경기도 여주군 여주읍 천송리 301-1,"[37.3419834, 127.5716943]",
구인사,충청북도 단양군 영춘면 백자리 52,"[37.0483068, 128.4840229]",
신비의도로,제주특별자치도 제주시 노형동 1100로 2894-63,"[33.4511642, 126.4856142]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
송도해상케이블카,부산광역시 서구 암남동 송도해변로 171,"[35.0763914, 129.0214266]","월요일
오전 9:00~오후 8:00
화요일
오전 9:00~오후 8:00
수요일
오전 9:00~오후 8:00
목요일
오전 9:00~오후 8:00
금요일
오전 9:00~오후 8:00
토요일
오전 9:00~오후 9:00
일요일
오전 9:00~오후 9:00"
